Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking,
Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking,
Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking,
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking
Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking
Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking
